Country_Name,Country_Code,Region,Year,Birth_Rate,CO2
Aruba,ABW,Latin America and Caribbean,2014,10.975,8.410064178
Afghanistan,AFG,South Asia,2014,34.836,0.293946407
Angola,AGO,Sub-Saharan Africa,2014,42.864,1.290306776
Albania,ALB,Europe and Central Asia,2014,11.914,1.978763312
Andorra,AND,Europe and Central Asia,2014,-1,5.832906215
United Arab Emirates,ARE,Middle East and North Africa,2014,10.202,22.93960631
Argentina,ARG,Latin America and Caribbean,2014,17.547,4.781507775
Armenia,ARM,Europe and Central Asia,2014,14.141,1.898719374
Antigua and Barbuda,ATG,Latin America and Caribbean,2014,16.519,5.744419956
Australia,AUS,East Asia and Pacific,2014,13.2,15.38876602
Austria,AUT,Europe and Central Asia,2014,9.6,6.86986793
Azerbaijan,AZE,Europe and Central Asia,2014,17.9,3.931560609
Burundi,BDI,Sub-Saharan Africa,2014,43.005,0.044699992
Belgium,BEL,Europe and Central Asia,2014,11.2,8.328159898
Benin,BEN,Sub-Saharan Africa,2014,37.83,0.61420609
Burkina Faso,BFA,Sub-Saharan Africa,2014,39.977,0.162018438
Bangladesh,BGD,South Asia,2014,19.637,0.47365761
Bulgaria,BGR,Europe and Central Asia,2014,9.4,5.871615869
Bahrain,BHR,Middle East and North Africa,2014,15.433,23.45540632
"Bahamas, The",BHS,Latin America and Caribbean,2014,14.581,6.520069719
Bosnia and Herzegovina,BIH,Europe and Central Asia,2014,9.098,6.384938819
Belarus,BLR,Europe and Central Asia,2014,12.5,6.701957705
Belize,BLZ,Latin America and Caribbean,2014,22.921,1.400941234
Bermuda,BMU,North America,2014,10.5,8.838314988
Bolivia,BOL,Latin America and Caribbean,2014,23.87,1.90636432
Brazil,BRA,Latin America and Caribbean,2014,14.635,2.612933521
Barbados,BRB,Latin America and Caribbean,2014,12.088,4.467476521
Brunei Darussalam,BRN,East Asia and Pacific,2014,16.342,22.2291779
Bhutan,BTN,South Asia,2014,18.782,1.392229534
Botswana,BWA,Sub-Saharan Africa,2014,24.541,3.367451334
Central African Republic,CAF,Sub-Saharan Africa,2014,36.542,0.067357126
Canada,CAN,North America,2014,10.8,15.15892722
Switzerland,CHE,Europe and Central Asia,2014,10.4,4.311562994
Chile,CHL,Latin America and Caribbean,2014,13.608,4.6490622
China,CHN,East Asia and Pacific,2014,12.37,7.543907641
Cote d'Ivoire,CIV,Sub-Saharan Africa,2014,37.348,0.487688034
Cameroon,CMR,Sub-Saharan Africa,2014,37.374,0.308791722
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2014,43.31,0.063330889
"Congo, Rep.",COG,Sub-Saharan Africa,2014,35.856,0.653359719
Colombia,COL,Latin America and Caribbean,2014,15.77,1.790356827
Comoros,COM,Sub-Saharan Africa,2014,33.786,0.202812784
Cabo Verde,CPV,Sub-Saharan Africa,2014,21.407,0.948113817
Costa Rica,CRI,Latin America and Caribbean,2014,14.768,1.618087849
Cuba,CUB,Latin America and Caribbean,2014,11.04,3.080994246
Curacao,CUW,Latin America and Caribbean,2014,12.6,37.72628905
Cayman Islands,CYM,Latin America and Caribbean,2014,12.47521625,8.91920852
Cyprus,CYP,Europe and Central Asia,2014,11.118,5.260461605
Czech Republic,CZE,Europe and Central Asia,2014,10.4,9.165978376
Germany,DEU,Europe and Central Asia,2014,8.8,8.889370395
Djibouti,DJI,Middle East and North Africa,2014,23.699,0.803830216
Dominica,DMA,Latin America and Caribbean,2014,12,1.908686783
Denmark,DNK,Europe and Central Asia,2014,10.1,5.935712482
Dominican Republic,DOM,Latin America and Caribbean,2014,20.857,2.11899467
Algeria,DZA,Middle East and North Africa,2014,24.522,3.735520147
Ecuador,ECU,Latin America and Caribbean,2014,20.774,2.753266363
"Egypt, Arab Rep.",EGY,Middle East and North Africa,2014,27.707,2.232732005
Spain,ESP,Europe and Central Asia,2014,9.2,5.033824487
Estonia,EST,Europe and Central Asia,2014,10.3,14.84881917
Ethiopia,ETH,Sub-Saharan Africa,2014,32.806,0.118240576
Finland,FIN,Europe and Central Asia,2014,10.5,8.660721243
Fiji,FJI,East Asia and Pacific,2014,20.109,1.350070921
France,FRA,Europe and Central Asia,2014,12.4,4.573181595
Faroe Islands,FRO,Europe and Central Asia,2014,13.2,12.46290659
"Micronesia, Fed. Sts.",FSM,East Asia and Pacific,2014,23.579,1.399279638
Gabon,GAB,Sub-Saharan Africa,2014,30.605,2.756381782
United Kingdom,GBR,Europe and Central Asia,2014,12,6.49744049
Georgia,GEO,Europe and Central Asia,2014,14.043,2.416460496
Ghana,GHA,Sub-Saharan Africa,2014,32.029,0.531371738
Gibraltar,GIB,Europe and Central Asia,2014,-1,15.65746479
Guinea,GIN,Sub-Saharan Africa,2014,36.805,0.219671873
"Gambia, The",GMB,Sub-Saharan Africa,2014,40.471,0.253640982
Guinea-Bissau,GNB,Sub-Saharan Africa,2014,37.675,0.160335469
Equatorial Guinea,GNQ,Sub-Saharan Africa,2014,35.179,4.763967152
Greece,GRC,Europe and Central Asia,2014,8.5,6.180337268
Grenada,GRD,Latin America and Caribbean,2014,19.16,2.222383427
Greenland,GRL,Europe and Central Asia,2014,14.3,8.989181988
Guatemala,GTM,Latin America and Caribbean,2014,25.998,1.151000836
Guyana,GUY,Latin America and Caribbean,2014,20.847,2.632392779
"Hong Kong SAR, China",HKG,East Asia and Pacific,2014,8.6,6.393600526
Honduras,HND,Latin America and Caribbean,2014,22.416,1.057648023
Croatia,HRV,Europe and Central Asia,2014,9.3,3.973804906
Haiti,HTI,Latin America and Caribbean,2014,24.93,0.271140187
Hungary,HUN,Europe and Central Asia,2014,9.5,4.265574976
Indonesia,IDN,East Asia and Pacific,2014,19.705,1.81937838
India,IND,South Asia,2014,19.573,1.727670507
Ireland,IRL,Europe and Central Asia,2014,14.4,7.313939808
"Iran, Islamic Rep.",IRN,Middle East and North Africa,2014,17.568,8.384101101
Iraq,IRQ,Middle East and North Africa,2014,34.009,4.89491703
Iceland,ISL,Europe and Central Asia,2014,13.4,6.059657407
