Country Name,Country Code,Region,Year,Fertility_Rate,Happiness_Score
Aruba,ABW,Latin America and Caribbean,2017,11.004,8.904
Afghanistan,AFG,South Asia,2017,32.507,6.587
Angola,AGO,Sub-Saharan Africa,2017,41.347,8.372
Albania,ALB,Europe and Central Asia,2017,11.745,7.549
Andorra,AND,Europe and Central Asia,2017,-1,-1
United Arab Emirates,ARE,Middle East and North Africa,2017,9.328,1.635
Argentina,ARG,Latin America and Caribbean,2017,16.975,7.56
Armenia,ARM,Europe and Central Asia,2017,13.092,9.686
American Samoa,ASM,East Asia and Pacific,2017,-1,-1
Antigua and Barbuda,ATG,Latin America and Caribbean,2017,16.089,5.791
Australia,AUS,East Asia and Pacific,2017,12.4,6.5
Austria,AUT,Europe and Central Asia,2017,10,9.5
Azerbaijan,AZE,Europe and Central Asia,2017,14.6,5.8
Burundi,BDI,Sub-Saharan Africa,2017,41.763,10.547
Belgium,BEL,Europe and Central Asia,2017,10.5,9.6
Benin,BEN,Sub-Saharan Africa,2017,36.622,9.029
Burkina Faso,BFA,Sub-Saharan Africa,2017,38.42,8.341
Bangladesh,BGD,South Asia,2017,18.613,5.266
Bulgaria,BGR,Europe and Central Asia,2017,9,15.5
Bahrain,BHR,Middle East and North Africa,2017,14.402,2.372
"Bahamas, The",BHS,Latin America and Caribbean,2017,14.126,6.447
Bosnia and Herzegovina,BIH,Europe and Central Asia,2017,9.207,11.172
Belarus,BLR,Europe and Central Asia,2017,10.8,12.6
Belize,BLZ,Latin America and Caribbean,2017,22.312,5.429
Bermuda,BMU,North America,2017,9.3,7.8
Bolivia,BOL,Latin America and Caribbean,2017,22.968,7.252
Brazil,BRA,Latin America and Caribbean,2017,13.918,6.243
Barbados,BRB,Latin America and Caribbean,2017,11.819,10.831
Brunei Darussalam,BRN,East Asia and Pacific,2017,15.575,3.641
Bhutan,BTN,South Asia,2017,17.879,6.009
Botswana,BWA,Sub-Saharan Africa,2017,23.162,6.406
Central African Republic,CAF,Sub-Saharan Africa,2017,35.328,13.104
Canada,CAN,North America,2017,10.3,7.5
Switzerland,CHE,Europe and Central Asia,2017,10.3,7.9
Channel Islands,CHI,Europe and Central Asia,2017,9.282,9.032
Chile,CHL,Latin America and Caribbean,2017,13.135,6.164
China,CHN,East Asia and Pacific,2017,12.43,7.11
Cote d'Ivoire,CIV,Sub-Saharan Africa,2017,36.553,11.928
Cameroon,CMR,Sub-Saharan Africa,2017,35.768,9.807
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2017,41.734,9.688
"Congo, Rep.",COG,Sub-Saharan Africa,2017,34.059,7.136
Colombia,COL,Latin America and Caribbean,2017,14.925,6.081
Comoros,COM,Sub-Saharan Africa,2017,32.365,7.298
Cabo Verde,CPV,Sub-Saharan Africa,2017,20.661,5.448
Costa Rica,CRI,Latin America and Caribbean,2017,14.056,5.002
Cuba,CUB,Latin America and Caribbean,2017,10.751,8.105
Curacao,CUW,Latin America and Caribbean,2017,9.7,8.9
Cayman Islands,CYM,Latin America and Caribbean,2017,9.902558821,3.422324329
Cyprus,CYP,Europe and Central Asia,2017,10.672,6.952
Czech Republic,CZE,Europe and Central Asia,2017,10.8,10.5
Germany,DEU,Europe and Central Asia,2017,9.5,11.3
Djibouti,DJI,Middle East and North Africa,2017,22.66,8.349
Dominica,DMA,Latin America and Caribbean,2017,-1,-1
Denmark,DNK,Europe and Central Asia,2017,10.6,8.2
Dominican Republic,DOM,Latin America and Caribbean,2017,19.832,6.127
Algeria,DZA,Middle East and North Africa,2017,22.292,4.758
Ecuador,ECU,Latin America and Caribbean,2017,19.872,5.12
"Egypt, Arab Rep.",EGY,Middle East and North Africa,2017,25.691,5.859
Eritrea,ERI,Sub-Saharan Africa,2017,31.59,6.649
Spain,ESP,Europe and Central Asia,2017,8.4,9
Estonia,EST,Europe and Central Asia,2017,10.5,11.8
Ethiopia,ETH,Sub-Saharan Africa,2017,31.255,6.67
Finland,FIN,Europe and Central Asia,2017,9.1,9.8
Fiji,FJI,East Asia and Pacific,2017,19.041,7.194
France,FRA,Europe and Central Asia,2017,11.4,9
Faroe Islands,FRO,Europe and Central Asia,2017,13.1,8.9
"Micronesia, Fed. Sts.",FSM,East Asia and Pacific,2017,23.774,6.226
Gabon,GAB,Sub-Saharan Africa,2017,28.901,7.438
United Kingdom,GBR,Europe and Central Asia,2017,11.4,9.2
Georgia,GEO,Europe and Central Asia,2017,13.18,13.168
Ghana,GHA,Sub-Saharan Africa,2017,30.52,7.985
Gibraltar,GIB,Europe and Central Asia,2017,-1,-1
Guinea,GIN,Sub-Saharan Africa,2017,35.468,8.946
"Gambia, The",GMB,Sub-Saharan Africa,2017,38.965,7.931
Guinea-Bissau,GNB,Sub-Saharan Africa,2017,35.988,10.296
Equatorial Guinea,GNQ,Sub-Saharan Africa,2017,33.616,10.025
Greece,GRC,Europe and Central Asia,2017,8.2,11.6
Grenada,GRD,Latin America and Caribbean,2017,18.359,7.098
Greenland,GRL,Europe and Central Asia,2017,15.2,8.9
Guatemala,GTM,Latin America and Caribbean,2017,24.916,4.81
Guam,GUM,East Asia and Pacific,2017,16.667,5.131
Guyana,GUY,Latin America and Caribbean,2017,20.389,8.256
"Hong Kong SAR, China",HKG,East Asia and Pacific,2017,7.7,6.3
Honduras,HND,Latin America and Caribbean,2017,21.418,4.805
Croatia,HRV,Europe and Central Asia,2017,8.9,13
Haiti,HTI,Latin America and Caribbean,2017,23.821,8.544
Hungary,HUN,Europe and Central Asia,2017,9.7,13.5
Indonesia,IDN,East Asia and Pacific,2017,18.624,7.155
Isle of Man,IMN,Europe and Central Asia,2017,-1,-1
India,IND,South Asia,2017,18.782,7.328
Ireland,IRL,Europe and Central Asia,2017,12.9,6.3
"Iran, Islamic Rep.",IRN,Middle East and North Africa,2017,15.922,4.493
Iraq,IRQ,Middle East and North Africa,2017,32.768,4.952
Iceland,ISL,Europe and Central Asia,2017,11.9,6.5
Israel,ISR,Middle East and North Africa,2017,21.1,5.1
Italy,ITA,Europe and Central Asia,2017,7.6,10.7
Jamaica,JAM,Latin America and Caribbean,2017,16.434,7.037
Jordan,JOR,Middle East and North Africa,2017,25.883,3.829
Japan,JPN,East Asia and Pacific,2017,7.6,10.8
Kazakhstan,KAZ,Europe and Central Asia,2017,21.64,7.15
Kenya,KEN,Sub-Saharan Africa,2017,30.876,5.658
Kyrgyz Republic,KGZ,Europe and Central Asia,2017,24.8,5.4
Cambodia,KHM,East Asia and Pacific,2017,22.886,6.007
Kiribati,KIR,East Asia and Pacific,2017,27.871,6.963
St. Kitts and Nevis,KNA,Latin America and Caribbean,2017,-1,-1
"Korea, Rep.",KOR,East Asia and Pacific,2017,7,5.6
Kuwait,KWT,Middle East and North Africa,2017,15.974,2.808
Lao PDR,LAO,East Asia and Pacific,2017,23.383,6.579
Lebanon,LBN,Middle East and North Africa,2017,15.497,4.666
Liberia,LBR,Sub-Saharan Africa,2017,33.936,7.661
Libya,LBY,Middle East and North Africa,2017,19.125,5.209
St. Lucia,LCA,Latin America and Caribbean,2017,11.975,7.529
Liechtenstein,LIE,Europe and Central Asia,2017,8.9,6.6
Sri Lanka,LKA,South Asia,2017,15.002,6.991
Lesotho,LSO,Sub-Saharan Africa,2017,27.532,12.506
Lithuania,LTU,Europe and Central Asia,2017,10.1,14.2
Luxembourg,LUX,Europe and Central Asia,2017,10.4,7.1
Latvia,LVA,Europe and Central Asia,2017,10.7,14.8
"Macao SAR, China",MAC,East Asia and Pacific,2017,12.213,3.866
St. Martin (French part),MAF,Latin America and Caribbean,2017,14.9,4.3
Morocco,MAR,Middle East and North Africa,2017,19.5,5.12
Monaco,MCO,Europe and Central Asia,2017,-1,-1
Moldova,MDA,Europe and Central Asia,2017,10.105,11.555
Madagascar,MDG,Sub-Saharan Africa,2017,32.9,6.19
Maldives,MDV,South Asia,2017,17.664,3.3
Mexico,MEX,Latin America and Caribbean,2017,17.83,4.88
Marshall Islands,MHL,East Asia and Pacific,2017,-1,-1
North Macedonia,MKD,Europe and Central Asia,2017,11.237,9.856
Mali,MLI,Sub-Saharan Africa,2017,42.076,9.985
Malta,MLT,Middle East and North Africa,2017,9.2,7.6
Myanmar,MMR,East Asia and Pacific,2017,17.615,8.185
Montenegro,MNE,Europe and Central Asia,2017,11.224,9.937
Mongolia,MNG,East Asia and Pacific,2017,23.103,6.339
Northern Mariana Islands,MNP,East Asia and Pacific,2017,-1,-1
Mozambique,MOZ,Sub-Saharan Africa,2017,38.557,9.821
Mauritania,MRT,Sub-Saharan Africa,2017,33.726,7.806
Mauritius,MUS,Sub-Saharan Africa,2017,10.7,8
Malawi,MWI,Sub-Saharan Africa,2017,36.399,7.104
Malaysia,MYS,East Asia and Pacific,2017,16.997,5.001
Namibia,NAM,Sub-Saharan Africa,2017,28.723,7.074
New Caledonia,NCL,East Asia and Pacific,2017,14.5,5.5
Niger,NER,Sub-Saharan Africa,2017,47.838,9.478
Nigeria,NGA,Sub-Saharan Africa,2017,38.4,12.164
Nicaragua,NIC,Latin America and Caribbean,2017,19.104,4.8
Netherlands,NLD,Europe and Central Asia,2017,9.9,8.8
Norway,NOR,Europe and Central Asia,2017,10.7,7.7
Nepal,NPL,South Asia,2017,19.49,6.243
Nauru,NRU,East Asia and Pacific,2017,-1,-1
New Zealand,NZL,East Asia and Pacific,2017,12.43,6.95
Oman,OMN,Middle East and North Africa,2017,17.854,2.498
Pakistan,PAK,South Asia,2017,27.7,7.228
Panama,PAN,Latin America and Caribbean,2017,19.218,5.04
Peru,PER,Latin America and Caribbean,2017,18.936,5.658
Philippines,PHL,East Asia and Pacific,2017,22.975,6.547
Palau,PLW,East Asia and Pacific,2017,12.4,10.3
Papua New Guinea,PNG,East Asia and Pacific,2017,27.298,7.094
Poland,POL,Europe and Central Asia,2017,10.6,10.6
Puerto Rico,PRI,Latin America and Caribbean,2017,7.3,8.9
"Korea, Dem. People’s Rep.",PRK,East Asia and Pacific,2017,13.797,8.953
Portugal,PRT,Europe and Central Asia,2017,8.4,10.6
Paraguay,PRY,Latin America and Caribbean,2017,20.746,5.776
West Bank and Gaza,PSE,Middle East and North Africa,2017,31.409,3.482
French Polynesia,PYF,East Asia and Pacific,2017,15.177,5.519
Qatar,QAT,Middle East and North Africa,2017,9.988,1.56
Romania,ROU,Europe and Central Asia,2017,9.7,13.3
Russian Federation,RUS,Europe and Central Asia,2017,12.9,12.9
Rwanda,RWA,Sub-Saharan Africa,2017,30.441,5.835
Saudi Arabia,SAU,Middle East and North Africa,2017,19.185,3.581
Sudan,SDN,Sub-Saharan Africa,2017,32.555,7.359
Senegal,SEN,Sub-Saharan Africa,2017,34.973,5.745
Singapore,SGP,East Asia and Pacific,2017,8.9,5
Solomon Islands,SLB,East Asia and Pacific,2017,28.198,4.7
Sierra Leone,SLE,Sub-Saharan Africa,2017,34.44,12.509
El Salvador,SLV,Latin America and Caribbean,2017,18.374,6.759
San Marino,SMR,Europe and Central Asia,2017,-1,-1
Somalia,SOM,Sub-Saharan Africa,2017,43.055,11.11
Serbia,SRB,Europe and Central Asia,2017,9.2,14.8
South Sudan,SSD,Sub-Saharan Africa,2017,35.56,10.731
Sao Tome and Principe,STP,Sub-Saharan Africa,2017,33.361,6.583
Suriname,SUR,Latin America and Caribbean,2017,17.983,7.377
Slovak Republic,SVK,Europe and Central Asia,2017,10.7,9.9
Slovenia,SVN,Europe and Central Asia,2017,9.8,9.9
Sweden,SWE,Europe and Central Asia,2017,11.5,9.1
Eswatini,SWZ,Sub-Saharan Africa,2017,28.415,9.383
Sint Maarten (Dutch part),SXM,Latin America and Caribbean,2017,-1,-1
